filename,width,height,class,xmin,ymin,xmax,ymax
0057.jpg,640,480,elephant,165,152,550,466
0058.jpg,640,480,elephant,152,140,337,396
0058.jpg,640,480,elephant,349,70,585,470
0059.jpg,640,480,elephant,103,55,596,456
0060.jpg,640,480,elephant,56,321,336,451
0060.jpg,640,480,elephant,1,274,110,402
0060.jpg,640,480,elephant,330,263,558,433
0060.jpg,640,480,elephant,556,340,640,446
0061.jpg,640,480,elephant,237,98,455,371
0062.jpg,640,480,elephant,96,85,363,348
0062.jpg,640,480,elephant,349,89,573,397
0063.jpg,640,480,elephant,69,98,526,475
0064.jpg,640,480,elephant,181,68,458,429
0065.jpg,640,480,elephant,233,108,491,333
0065.jpg,640,480,elephant,358,33,513,131
0066.jpg,640,480,elephant,227,111,493,422
0067.jpg,640,480,elephant,18,154,323,396
0067.jpg,640,480,elephant,314,289,457,399
0067.jpg,640,480,elephant,455,177,609,412
0067.jpg,640,480,elephant,178,200,423,391
0067.jpg,640,480,elephant,329,172,483,387
0068.jpg,640,480,elephant,168,64,530,306
0068.jpg,640,480,elephant,510,117,640,301
0068.jpg,640,480,elephant,106,193,282,301
0068.jpg,640,480,elephant,131,70,429,293
0069.jpg,640,480,elephant,141,142,387,340
0069.jpg,640,480,elephant,39,160,135,245
0070.jpg,640,480,elephant,3,20,623,479
0071.jpg,640,480,elephant,2,86,241,427
0071.jpg,640,480,elephant,218,122,448,425
0071.jpg,640,480,elephant,418,99,636,448
0072.jpg,640,480,elephant,165,70,626,392
0073.jpg,960,720,elephant,106,64,691,632
0074.jpg,640,480,elephant,191,6,578,480
0075.jpg,960,720,elephant,60,35,894,554
0076.jpg,640,480,elephant,38,58,541,480
0077.jpg,640,480,elephant,27,53,598,480
0078.jpg,640,480,elephant,73,115,525,480
0079.JPG,640,480,elephant,283,120,449,442
0079.JPG,640,480,elephant,411,121,540,388
0079.JPG,640,480,elephant,500,106,636,383
0080.jpg,640,480,elephant,229,108,434,363
0081.jpg,640,480,elephant,76,129,600,402
0082.jpg,640,480,elephant,165,157,360,406
0083.jpg,640,480,elephant,198,72,525,434
0084.jpg,640,480,elephant,41,87,617,458
0085.jpg,640,480,elephant,8,169,426,469
0086.jpg,640,480,elephant,203,149,349,435
0087.jpg,640,480,elephant,124,71,598,448
0088.jpg,640,480,elephant,155,146,429,391
0088.jpg,640,480,elephant,427,278,527,383
0089.jpg,640,480,elephant,13,111,216,435
0089.jpg,640,480,elephant,265,175,368,344
0089.jpg,640,480,elephant,349,159,545,358
0089.jpg,640,480,elephant,439,102,625,412
0090.jpg,640,480,elephant,92,53,572,447
0091.jpg,640,480,elephant,149,4,527,479
0092.jpg,640,480,elephant,104,119,533,448
0092.jpg,640,480,elephant,272,266,388,450
0093.jpg,640,480,elephant,159,9,425,440
0094.jpg,640,480,elephant,49,169,200,275
0094.jpg,640,480,elephant,213,150,391,296
0094.jpg,640,480,elephant,405,161,635,292
0095.jpg,640,480,elephant,29,165,174,453
0095.jpg,640,480,elephant,189,207,316,457
0095.jpg,640,480,elephant,408,215,555,437
0096.jpg,640,480,elephant,192,29,511,464
0097.jpeg,640,480,elephant,111,92,577,469
0098.jpg,640,480,elephant,21,87,604,454
0100.jpg,640,480,elephant,21,125,398,366
0100.jpg,640,480,elephant,420,247,563,360
0101.JPG,640,480,elephant,73,103,564,442
0102.jpg,640,480,elephant,104,38,570,446
0103.jpg,640,480,elephant,73,47,466,454
0103.jpg,640,480,elephant,313,242,500,426
0104.jpg,640,480,elephant,132,127,506,470
0104.jpg,640,480,elephant,115,22,542,362
0105.jpg,640,480,elephant,14,43,382,480
0105.jpg,640,480,elephant,254,88,514,466
0105.jpg,640,480,elephant,346,95,616,452
0106.jpg,640,480,elephant,123,1,638,480
0107.jpg,640,480,elephant,126,50,551,426
0108.jpg,640,480,elephant,128,61,603,463
0109.jpg,640,480,elephant,54,89,497,400
0110.jpg,640,480,elephant,153,111,435,370
0111.jpg,640,480,elephant,107,71,346,435
0111.jpg,640,480,elephant,352,118,563,435
0111.jpg,640,480,elephant,198,298,370,450
0112.jpg,640,480,elephant,45,1,623,475
0112.jpg,640,480,elephant,356,271,495,477
0113.jpg,640,480,elephant,12,288,206,464
0113.jpg,640,480,elephant,102,143,290,436
0113.jpg,640,480,elephant,266,49,547,433
0113.jpg,640,480,elephant,465,184,618,415
0114.jpg,640,480,elephant,61,59,552,458
0115.jpg,640,480,elephant,209,30,571,435
0116.jpg,640,480,elephant,3,174,191,480
0116.jpg,640,480,elephant,198,58,640,478
0117.jpg,640,480,elephant,175,79,637,479
0118.jpg,300,180,elephant,107,118,183,180
0118.jpg,300,180,elephant,241,71,292,115
0118.jpg,300,180,elephant,48,89,110,157
0118.jpg,300,180,elephant,198,50,237,88
0118.jpg,300,180,elephant,1,79,29,105
0118.jpg,300,180,elephant,48,70,106,109
0118.jpg,300,180,elephant,3,55,42,87
0118.jpg,300,180,elephant,167,63,201,103
0118.jpg,300,180,elephant,136,40,176,66
0118.jpg,300,180,elephant,115,87,164,125
0118.jpg,300,180,elephant,153,80,196,150
0118.jpg,300,180,elephant,98,65,152,101
0119.jpg,203,300,elephant,1,3,189,296
0120.JPEG,300,300,elephant,1,1,268,299
0121.jpg,800,600,elephant,259,234,461,393
0122.jpg,425,272,elephant,72,48,313,220
0122.jpg,425,272,elephant,171,28,387,205
0123.jpg,461,346,elephant,15,186,359,293
0123.jpg,461,346,elephant,221,67,405,254
0123.jpg,461,346,elephant,1,111,64,214
0123.jpg,461,346,elephant,1,94,92,207
0124.jpg,423,270,elephant,49,57,389,266
0125.jpg,194,143,elephant,1,37,103,139
0125.jpg,194,143,elephant,96,40,194,136
0126.jpg,357,500,elephant,1,24,357,493
0127.jpg,500,375,elephant,42,65,306,375
0127.jpg,500,375,elephant,282,197,370,375
0128.jpg,500,378,elephant,6,16,370,366
0129.jpg,500,461,elephant,1,1,495,461
0130.jpg,500,375,elephant,1,1,491,375
0131.jpg,500,375,elephant,119,136,292,274
0132.jpg,500,333,elephant,91,1,479,333
0133.jpg,500,333,elephant,104,28,500,330
0134.jpg,450,299,elephant,92,50,187,147
0134.jpg,450,299,elephant,196,47,349,163
0134.jpg,450,299,elephant,1,49,73,131
0135.jpg,450,299,elephant,1,1,268,298
0135.jpg,450,299,elephant,271,2,449,299
0136.jpg,500,360,elephant,1,1,288,214
0137.jpg,500,360,elephant,1,1,168,318
0137.jpg,500,360,elephant,171,1,498,241
0138.jpg,375,500,elephant,115,95,305,338
0139.jpg,500,375,elephant,50,102,466,370
0140.jpg,500,375,elephant,57,80,469,375
0141.jpg,500,333,elephant,24,94,282,305
0142.jpg,500,375,elephant,2,91,500,372
0143.jpg,500,375,elephant,1,1,255,374
0143.jpg,500,375,elephant,231,15,485,374
0145.jpg,500,375,elephant,82,113,233,373
0145.jpg,500,375,elephant,96,1,500,362
0146.jpg,500,329,elephant,1,1,409,329
0147.jpg,500,333,elephant,284,13,496,333
0147.jpg,500,333,elephant,53,1,383,331
0147.jpg,500,333,elephant,4,169,180,330
0147.jpg,500,333,elephant,1,1,213,304
0148.jpg,333,500,elephant,2,2,333,495
0149.jpg,500,333,elephant,1,74,332,275
0150.jpg,333,500,elephant,19,3,296,478
0151.jpg,500,333,elephant,24,32,466,311
0152.jpg,375,500,elephant,112,89,375,390
0154.jpg,320,232,elephant,111,117,222,192
0154.jpg,320,232,elephant,88,101,215,187
0154.jpg,320,232,elephant,205,84,303,189
0154.jpg,320,232,elephant,1,56,93,177
0154.jpg,320,232,elephant,58,43,173,120
0154.jpg,320,232,elephant,162,21,245,128
0155.jpg,500,375,elephant,121,74,338,336
0156.jpg,334,500,elephant,1,47,302,480
0157.jpg,333,500,elephant,86,39,313,233
0158.jpg,500,400,elephant,117,187,239,289
0158.jpg,500,400,elephant,174,214,255,278
0158.jpg,500,400,elephant,215,176,329,271
0158.jpg,500,400,elephant,294,197,394,292
0159.jpg,342,500,elephant,1,1,342,497
0160.jpg,500,335,elephant,339,182,467,285
0160.jpg,500,335,elephant,276,176,424,284
0160.jpg,500,335,elephant,193,169,339,281
0160.jpg,500,335,elephant,195,157,300,234
0161.jpg,500,375,elephant,262,213,403,322
0162.jpg,375,500,elephant,24,28,371,500
0163.jpg,500,500,elephant,127,44,379,468
0164.jpg,500,380,elephant,1,1,361,380
0165.jpg,226,344,elephant,3,71,226,336
0167.jpg,332,500,elephant,1,2,187,497
0167.jpg,332,500,elephant,151,241,295,497
0168.jpg,500,375,elephant,177,212,260,298
0168.jpg,500,375,elephant,100,149,183,268
0168.jpg,500,375,elephant,231,156,397,261
0168.jpg,500,375,elephant,1,118,80,217
0168.jpg,500,375,elephant,73,107,218,204
0168.jpg,500,375,elephant,164,115,259,212
0168.jpg,500,375,elephant,29,64,92,117
0168.jpg,500,375,elephant,428,84,479,201
0168.jpg,500,375,elephant,346,115,394,185
0168.jpg,500,375,elephant,328,74,398,153
0168.jpg,500,375,elephant,396,91,444,156
0168.jpg,500,375,elephant,118,25,161,76
0168.jpg,500,375,elephant,71,34,125,84
0168.jpg,500,375,elephant,18,29,63,74
0168.jpg,500,375,elephant,39,34,74,75
0169.jpg,400,256,elephant,1,26,243,248
0169.jpg,400,256,elephant,248,31,375,251
0170.jpg,500,375,elephant,90,56,474,282
0171.jpg,500,319,elephant,3,9,438,307
0172.jpg,430,500,elephant,18,13,420,478
0173.jpg,375,500,elephant,1,34,315,500
0174.jpg,500,375,elephant,63,105,206,207
0174.jpg,500,375,elephant,162,125,391,290
0175.jpg,500,338,elephant,35,77,376,313
0175.jpg,500,338,elephant,221,29,459,280
0176.jpg,500,400,elephant,49,4,360,234
0177.jpg,320,276,elephant,1,1,282,276
0178.jpg,375,500,elephant,1,2,371,500
0179.jpg,500,375,elephant,157,136,426,298
0180.jpg,500,326,elephant,45,102,282,320
0180.jpg,500,326,elephant,180,72,500,306
0180.jpg,500,326,elephant,10,20,300,262
0181.jpg,500,352,elephant,192,174,298,329
0181.jpg,500,352,elephant,284,85,468,325
0181.jpg,500,352,elephant,37,2,281,339
0182.jpg,476,500,elephant,1,1,462,500
0183.jpg,500,375,elephant,127,36,479,323
0184.jpg,360,480,elephant,25,80,180,460
0184.jpg,360,480,elephant,205,16,360,436
0185.jpg,500,333,elephant,79,72,153,233
0185.jpg,500,333,elephant,192,85,286,254
0185.jpg,500,333,elephant,297,82,457,303
0186.jpg,500,335,elephant,3,3,495,335
0187.jpg,500,375,elephant,33,85,437,374
0188.jpg,500,375,elephant,56,114,244,318
0188.jpg,500,375,elephant,211,76,381,314
0188.jpg,500,375,elephant,331,92,492,326
0189.jpg,500,375,elephant,130,103,229,315
0189.jpg,500,375,elephant,237,114,394,304
0190.jpg,500,333,elephant,30,39,157,310
0190.jpg,500,333,elephant,176,28,307,322
0190.jpg,500,333,elephant,268,69,396,297
0191.jpg,500,418,elephant,12,13,474,418
0192.jpg,500,333,elephant,61,1,497,333
0193.jpg,500,333,elephant,176,91,481,308
0194.jpg,500,333,elephant,264,180,453,298
0194.jpg,500,333,elephant,152,181,333,296
0194.jpg,500,333,elephant,55,174,200,288
0194.jpg,500,333,elephant,39,139,96,180
0195.jpg,500,333,elephant,1,1,395,332
0196.jpg,375,500,elephant,104,196,350,432
0197.jpg,500,333,elephant,142,148,267,286
0198.jpg,500,372,elephant,1,82,388,372
0199.jpg,500,331,elephant,141,3,476,247
0199.jpg,500,331,elephant,33,130,397,331
0200.jpg,150,113,elephant,15,16,135,105
0201.jpg,400,318,elephant,188,147,338,256
0201.jpg,400,318,elephant,68,9,177,75
0201.jpg,400,318,elephant,148,61,297,159
0201.jpg,400,318,elephant,108,56,215,136
0201.jpg,400,318,elephant,68,122,165,191
0202.jpg,222,296,elephant,1,1,219,296
0203.jpg,1024,768,elephant,281,191,841,710
0204.jpg,245,253,elephant,69,107,149,181
0205.jpg,450,295,elephant,39,7,445,295
0206.jpg,301,255,elephant,65,50,226,217
0207.jpg,300,427,elephant,15,6,289,400
0208.jpg,420,280,elephant,47,1,403,261
0209.JPG,640,480,elephant,1,142,623,479
0210.jpg,216,152,elephant,5,21,172,150
